timestamp,label,accelX,accelY,accelZ,gyroX,gyroY
244143.0,FWD,-5.6814,2.1284,15.2223,-0.010195,0.620509
244153.0,FWD,-10.4962,1.8172,10.9008,-0.007086,1.082996
244163.0,FWD,-10.1466,4.2258,13.963,-0.006251,1.469241
244173.0,FWD,-11.382,7.0605,12.6629,-0.00894,1.714818
244183.0,FWD,-16.3213,5.6886,13.2208,-0.004963,1.797714
244193.0,FWD,-17.7817,3.1795,17.5878,-0.011534,1.668127
244203.0,FWD,-17.0467,-2.7485,12.5049,-0.022599,1.384596
244213.0,FWD,-14.6884,-4.027,14.9997,-0.022978,1.014201
244222.0,FWD,-12.548,-0.5866,12.1697,-0.024134,0.613271
244233.0,FWD,-10.0676,0.3352,17.765,-0.030655,0.231295
244243.0,FWD,-5.8514,-0.9026,13.0819,-0.031448,-0.061283
244253.0,FWD,-3.5554,3.7661,11.0181,-0.030057,-0.268966
244263.0,FWD,-2.6193,2.2434,14.3221,-0.020151,-0.408785
244273.0,FWD,-4.9033,0.6345,9.8713,-0.016117,-0.509343
244283.0,FWD,-5.7868,-1.0104,10.8769,-0.014648,-0.577745
244293.0,FWD,-3.5865,0.4286,12.9598,-0.00841,-0.609337
244303.0,FWD,-6.1268,1.257,13.0819,-0.00262,-0.612922
244313.0,FWD,-5.9807,0.8667,11.8345,-0.005503,-0.600281
244323.0,FWD,-5.0111,2.0399,7.0964,-0.009887,-0.572528
244333.0,FWD,-6.7373,2.4876,8.169,-0.013182,-0.531461
244343.0,FWD,-5.8873,1.6328,7.2257,-0.009902,-0.490932
244353.0,FWD,-7.3861,2.0638,10.556,-0.012554,-0.458084
244363.0,FWD,-6.4548,2.0231,13.6805,-0.015528,-0.417682
244373.0,FWD,-7.9703,0.249,12.1075,-0.020146,-0.371931
244383.0,FWD,-6.6535,0.3903,11.6502,-0.020163,-0.331866
244393.0,FWD,-6.4955,2.0782,12.5552,-0.017672,-0.30994
244403.0,FWD,-5.0278,-1.2498,14.3772,-0.011895,-0.301139
244413.0,FWD,-6.3327,-0.0503,11.0684,-0.004662,-0.289621
244423.0,FWD,-5.5641,0.3256,13.6015,-0.006444,-0.266871
244433.0,FWD,-5.1308,-0.0407,11.6622,-0.011866,-0.239132
244443.0,FWD,-6.7469,1.1181,13.2711,-0.010554,-0.217153
244453.0,FWD,-6.7516,2.3415,9.5409,-0.006254,-0.194721
244463.0,FWD,-5.5617,1.1971,10.9822,-0.004839,-0.168142
244473.0,FWD,-5.1212,1.6712,8.5808,-0.006052,-0.13638
244483.0,FWD,-3.7661,2.8994,12.5624,-0.007876,-0.100311
244493.0,FWD,-3.2489,4.7357,12.3038,-0.005657,-0.048168
244503.0,FWD,-1.9848,2.4588,10.0963,-0.004148,-0.005761
244513.0,FWD,-3.9385,1.8124,10.9463,-0.014293,0.007328
244523.0,FWD,-2.5283,1.3551,15.3277,-0.021236,-0.004637
244533.0,FWD,-2.648,2.5139,13.6374,-0.023433,-0.043574
244543.0,FWD,-1.3719,1.7238,12.0141,-0.022313,-0.08634
244553.0,FWD,-1.7885,2.0039,9.663,-0.02131,-0.148959
244562.0,FWD,-1.3743,3.9959,15.3349,-0.021254,-0.231189
244573.0,FWD,-1.1205,4.2234,15.2223,-0.016786,-0.337156
244583.0,FWD,-1.798,2.0949,17.4035,-0.013531,-0.438716
244593.0,FWD,1.2498,0.8284,17.4418,-0.010928,-0.524388
244603.0,FWD,-2.1787,2.6456,13.8816,-0.006766,-0.577257
244613.0,FWD,-1.5419,2.2673,11.9973,-0.001252,-0.591414
244623.0,FWD,-1.0104,-2.4612,3.6488,-0.001104,-0.57604
244633.0,FWD,-1.0487,0.0551,11.4539,-0.003864,-0.538267
244643.0,FWD,-0.7638,-1.7334,12.8305,-0.006871,-0.488544
244653.0,FWD,-2.0183,-1.1756,12.2056,-0.008477,-0.343459
244663.0,FWD,0.4429,-0.2705,11.0828,-0.011627,-0.106364
244673.0,FWD,-2.6647,0.6871,14.5639,-0.014467,0.173003
244683.0,FWD,-4.1827,3.5841,8.9711,-0.009491,0.434495
244692.0,FWD,-3.0023,3.7086,9.8737,-0.001353,0.656212
244703.0,FWD,-7.5872,3.6751,9.4379,0.001906,0.858206
244713.0,FWD,-10.2089,2.8252,5.8012,0.00398,1.080982
244723.0,FWD,-13.0269,0.9074,8.7676,0.00127,1.359072
244733.0,FWD,-12.8257,0.9457,14.0659,0.001393,1.573124
244743.0,FWD,-15.5551,-1.063,14.2958,0.006554,1.614492
244753.0,FWD,-13.204,-0.7638,17.4801,0.004928,1.507321
244763.0,FWD,-13.5488,-0.1077,16.0507,0.006931,1.252433
244773.0,FWD,-11.5137,-0.3112,18.1624,0.011571,0.917477
244783.0,FWD,-11.4706,2.059,14.291,0.007715,0.560993
244793.0,FWD,-6.1651,2.9975,11.0588,0.003405,0.25742
244803.0,FWD,-5.8203,4.1204,9.6055,0.005553,0.030603
244813.0,FWD,-5.7844,0.5555,13.0963,0.009083,-0.119195
244823.0,FWD,-5.3199,2.3008,9.4523,0.007217,-0.198905
244833.0,FWD,-4.5514,3.0335,5.703,0.007963,-0.255211
244843.0,FWD,-5.272,-1.4341,17.1928,0.00355,-0.305372
244853.0,FWD,-7.2425,-0.9601,18.9262,0.004283,-0.354135
244862.0,FWD,-7.3622,1.6233,15.5958,0.004976,-0.396715
244873.0,FWD,-7.4603,0.0838,17.4346,0.005637,-0.435203
244883.0,FWD,-6.0094,1.4246,16.3189,0.003927,-0.48294
244893.0,FWD,-5.4588,0.9505,13.6972,0.002986,-0.53003
